symbol,start_date,end_value,sharpe_ratio
JASMYUSDT,2024-02-21,1166.7127338175742,1.962171529634584
WLDUSDT,2024-02-22,1024.597992987547,0.6346847745361371
UNIUSDT,2024-02-23,1016.0662163289132,0.4979397773145598
THETAUSDT,2024-02-24,1205.0685975609756,4.720351952446164
ARUSDT,2024-02-25,1723.1455957900012,4.851801973651171
THETAUSDT,2024-02-26,1098.649393605292,3.2107824026660854
PYTHUSDT,2024-02-27,1148.2671174978868,2.4523048329425765
ARUSDT,2024-02-28,1194.4243638836203,2.726621244229621
BONKUSDT,2024-02-29,1127.646786870088,1.4766792548937768
FLOKIUSDT,2024-03-01,1774.6883468834687,3.781248973757804
BCHUSDT,2024-03-02,1139.7114054160902,2.646262887031027
FTMUSDT,2024-03-03,1098.5928961748632,1.6377114180944978
BONKUSDT,2024-03-04,753.3690099732424,-0.9948377184409588
STRKUSDT,2024-03-05,901.3780918727914,-0.8192790610635226
NEARUSDT,2024-03-06,1104.7650783072309,1.4946736293456029
JUPUSDT,2024-03-07,1400.4590163934427,3.907665584057043
FLOKIUSDT,2024-03-08,929.2374038949382,-0.7360458527550596
WLDUSDT,2024-03-09,849.6993385447985,-1.5338310119168859
GALAUSDT,2024-03-10,918.9261916965658,-1.7334891985091996
XRPUSDT,2024-03-11,953.6588778508465,-1.781942557795107
INJUSDT,2024-03-12,847.0276633313713,-3.4619193364125658
WIFUSDT,2024-03-13,960.0572425828972,0.603735747742735
OMUSDT,2024-03-14,1427.6576482011178,3.1302853722969974
SEIUSDT,2024-03-15,678.3744894170071,-4.041156524907011
RAYUSDT,2024-03-16,870.140131186643,-1.3091725741435016
OMUSDT,2024-03-17,1123.818621207668,1.4687722878038723
OMUSDT,2024-03-18,944.8043747471156,-0.3900703102778608
ETCUSDT,2024-03-19,970.3285198555956,-0.0018577144208106588
PEPEUSDT,2024-03-20,872.8432563791007,-1.2850779928497222
JASMYUSDT,2024-03-21,963.4965318439781,-0.7289186128004995
APTUSDT,2024-03-22,866.0519164266033,-1.8391065597918834
GALAUSDT,2024-03-23,1063.657008613939,1.056207649695812
ICPUSDT,2024-03-24,982.2654901208516,-0.43740671639726547
OMUSDT,2024-03-25,983.9960210715086,0.058061590695025915
IOTAUSDT,2024-03-26,896.6427189831444,-1.3266927989170298
BCHUSDT,2024-03-27,995.9099437148219,-0.10450453559305711
FLOKIUSDT,2024-03-28,1027.1463483033533,0.6611678277735565
LTCUSDT,2024-03-29,916.2533793232031,-2.405581861860046
JUPUSDT,2024-03-30,959.0206013734248,-0.09792873382442896
BCHUSDT,2024-03-31,857.7181698582078,-3.6892370937916574
IOTAUSDT,2024-04-01,989.7164225615456,-4.815003796907522
OPUSDT,2024-04-02,921.0906148867315,-0.37053228355740014
ENAUSDT,2024-04-03,837.3056057866183,-0.8428511713251301
ETCUSDT,2024-04-04,837.2604422604422,-2.0392628412442284
APTUSDT,2024-04-05,730.2218430034129,-3.505890090049683
AVAXUSDT,2024-04-06,786.1172085317871,-2.468268321138756
PEPEUSDT,2024-04-07,1034.7203274215553,0.7801236609916784
NEOUSDT,2024-04-08,801.5461943513644,-1.542813052650403
FTMUSDT,2024-04-09,797.0593552274781,-2.2300048228049123
UNIUSDT,2024-04-10,809.8916779502136,-2.593461873783652
UNIUSDT,2024-04-11,997.7056372011406,-4.23439166941663
DYDXUSDT,2024-04-12,874.9628982976867,-1.442099947318557
SANDUSDT,2024-04-13,991.4528023598822,0.004009619466591718
WIFUSDT,2024-04-14,972.7140445644833,0.13556052947153854
OMUSDT,2024-04-15,941.804696871828,-1.2232934207101478
TIAUSDT,2024-04-16,860.314465408805,-1.8500931408655443
